 EPOCH2D v4.20.1   v4.20.1-9-g285e99cc-dirty 1781533359.474            

Wrote normal ,           0000.sdf at time  0.5307E-16 and iteration       0
Wrote normal ,           0001.sdf at time  0.5095E-14 and iteration      48
Wrote normal ,           0002.sdf at time  0.1008E-13 and iteration      95
Wrote normal ,           0003.sdf at time  0.1507E-13 and iteration     142
Wrote normal ,           0004.sdf at time  0.2006E-13 and iteration     189
Wrote normal ,           0005.sdf at time  0.2505E-13 and iteration     236
Wrote normal ,           0006.sdf at time  0.3004E-13 and iteration     283
Wrote normal ,           0007.sdf at time  0.3503E-13 and iteration     330
Wrote normal ,           0008.sdf at time  0.4001E-13 and iteration     377
Wrote normal ,           0009.sdf at time  0.4500E-13 and iteration     424
Wrote normal ,           0010.sdf at time  0.5010E-13 and iteration     472
Wrote normal ,           0011.sdf at time  0.5509E-13 and iteration     519
Wrote normal ,           0012.sdf at time  0.6007E-13 and iteration     566
Wrote normal ,           0013.sdf at time  0.6506E-13 and iteration     613
Wrote normal ,           0014.sdf at time  0.7005E-13 and iteration     660
Wrote normal ,           0015.sdf at time  0.7504E-13 and iteration     707
Wrote normal ,           0016.sdf at time  0.8003E-13 and iteration     754
Wrote normal ,           0017.sdf at time  0.8502E-13 and iteration     801
Wrote normal ,           0018.sdf at time  0.9001E-13 and iteration     848
Wrote normal ,           0019.sdf at time  0.9510E-13 and iteration     896
Wrote normal ,           0020.sdf at time  0.1001E-12 and iteration     943
Wrote normal ,           0021.sdf at time  0.1051E-12 and iteration     990
Wrote normal ,           0022.sdf at time  0.1101E-12 and iteration    1037
Wrote normal ,           0023.sdf at time  0.1151E-12 and iteration    1084
Wrote normal ,           0024.sdf at time  0.1200E-12 and iteration    1131
Wrote normal ,           0025.sdf at time  0.1250E-12 and iteration    1178
Wrote normal ,           0026.sdf at time  0.1300E-12 and iteration    1225
Wrote normal ,           0027.sdf at time  0.1350E-12 and iteration    1272
Wrote normal ,           0028.sdf at time  0.1401E-12 and iteration    1320
Wrote normal ,           0029.sdf at time  0.1451E-12 and iteration    1367
Wrote normal ,           0030.sdf at time  0.1501E-12 and iteration    1414
Wrote normal ,           0031.sdf at time  0.1551E-12 and iteration    1461
Wrote normal ,           0032.sdf at time  0.1601E-12 and iteration    1508
Wrote normal ,           0033.sdf at time  0.1650E-12 and iteration    1555
Wrote normal ,           0034.sdf at time  0.1700E-12 and iteration    1602
Wrote normal ,           0035.sdf at time  0.1750E-12 and iteration    1649
Wrote normal ,           0036.sdf at time  0.1800E-12 and iteration    1696
Wrote normal ,           0037.sdf at time  0.1850E-12 and iteration    1743
Wrote normal ,           0038.sdf at time  0.1901E-12 and iteration    1791
Wrote normal ,           0039.sdf at time  0.1951E-12 and iteration    1838
Wrote normal ,           0040.sdf at time  0.2001E-12 and iteration    1885
Wrote normal ,           0041.sdf at time  0.2051E-12 and iteration    1932
Wrote normal ,           0042.sdf at time  0.2100E-12 and iteration    1979
Wrote normal ,           0043.sdf at time  0.2150E-12 and iteration    2026
Wrote normal ,           0044.sdf at time  0.2200E-12 and iteration    2073
Wrote normal ,           0045.sdf at time  0.2250E-12 and iteration    2120
Wrote normal ,           0046.sdf at time  0.2300E-12 and iteration    2167
Wrote normal ,           0047.sdf at time  0.2351E-12 and iteration    2215
Wrote normal ,           0048.sdf at time  0.2401E-12 and iteration    2262
Wrote normal ,           0049.sdf at time  0.2451E-12 and iteration    2309
Wrote normal ,           0050.sdf at time  0.2501E-12 and iteration    2356
